Date,Time,Number of Insects,New Catches,Event,Location,Average Temperature,Temp_low,Temp_high,Average Humidity,Day Avg_temp,Day Min_temp,Day Max_temp,Day Avg_Humidity,Temp_change
2024-07-06,06:01:00,0.0,0.0,0,Cicalino1,13.91,13.6,14.4,97.65,22.34,13.6,30.6,72.25,17.0
2024-07-07,06:04:00,0.0,0.0,0,Cicalino1,20.78,20.1,21.2,83.49,23.52,18.7,30.2,76.73,11.5
2024-07-08,06:03:00,0.0,0.0,0,Cicalino1,19.03,18.7,19.5,96.87,25.67,18.3,33.9,69.14,15.6
2024-07-09,06:05:00,0.0,0.0,1,Cicalino1,15.33,15.0,15.7,82.29,25.87,15.0,36.0,53.65,21.0
2024-07-10,06:03:00,0.0,0.0,0,Cicalino1,15.48,15.0,16.0,87.12,26.41,15.0,36.2,58.94,21.2
2024-07-11,06:01:00,0.0,0.0,0,Cicalino1,16.21,16.0,16.5,74.55,26.22,14.4,35.9,55.21,21.5
2024-07-12,06:05:00,0.0,0.0,0,Cicalino1,16.58,16.4,16.9,86.98,26.36,15.6,36.5,57.51,20.9
2024-07-13,06:02:00,0.0,0.0,0,Cicalino1,18.87,18.7,19.2,96.14,25.7,17.5,35.6,68.39,18.1
2024-07-14,06:01:00,1.0,1.0,0,Cicalino1,17.46,17.4,17.7,96.5,26.19,16.2,36.9,68.05,20.7
2024-07-15,06:04:00,1.0,0.0,0,Cicalino1,16.41,16.2,16.7,87.13,27.14,15.7,38.0,56.96,22.3
2024-07-16,06:03:00,2.0,1.0,1,Cicalino1,16.08,15.9,16.3,83.29,26.47,15.2,36.3,56.07,21.1
2024-07-17,06:02:00,1.0,1.0,0,Cicalino1,17.31,17.0,18.0,81.1,27.55,16.2,37.3,55.4,21.1
2024-07-18,06:01:00,1.0,0.0,0,Cicalino1,15.59,15.4,16.0,78.41,26.96,14.5,38.3,52.74,23.8
2024-07-19,06:04:00,1.0,0.0,0,Cicalino1,18.1,18.0,18.3,75.98,27.8,16.9,38.3,54.52,21.4
2024-07-20,06:02:00,1.0,0.0,1,Cicalino1,22.45,22.0,23.2,85.91,26.82,16.9,34.5,63.68,17.6
2024-07-21,06:02:00,1.0,1.0,0,Cicalino1,17.79,17.6,18.1,94.9,26.83,17.3,37.1,66.86,19.8
2024-07-22,06:00:00,2.0,1.0,0,Cicalino1,21.03,20.6,21.5,89.11,25.37,19.4,35.0,71.6,15.6
2024-07-23,06:04:00,0.0,0.0,0,Cicalino1,18.01,17.9,18.2,96.93,27.02,17.9,35.9,65.69,18.0
2024-07-24,06:02:00,0.0,0.0,0,Cicalino1,19.25,19.0,19.6,87.98,28.0,18.6,36.2,62.04,17.6
2024-07-25,06:01:00,1.0,1.0,0,Cicalino1,22.29,21.4,22.9,69.03,28.51,19.8,37.3,58.35,17.5
2024-07-26,06:01:00,1.0,0.0,0,Cicalino1,18.47,18.3,18.7,91.64,27.72,18.1,37.8,65.43,19.7
2024-07-27,06:05:00,1.0,0.0,0,Cicalino1,18.07,17.9,18.3,97.25,27.51,17.3,38.1,63.42,20.8
2024-07-28,06:03:00,3.0,2.0,1,Cicalino1,17.06,16.8,17.3,90.43,27.36,16.2,38.0,57.75,21.8
2024-07-29,06:04:00,0.0,0.0,0,Cicalino1,17.66,17.4,17.8,73.17,28.64,16.9,41.0,51.79,24.1
2024-07-30,06:02:00,0.0,0.0,0,Cicalino1,22.52,21.9,23.2,70.92,30.59,20.0,40.0,45.54,20.0
2024-07-31,06:00:00,0.0,0.0,0,Cicalino1,19.6,19.5,19.9,80.9,29.83,19.0,39.8,51.92,20.8
2024-08-01,06:04:00,0.0,0.0,0,Cicalino1,18.73,18.4,19.0,70.76,28.16,17.7,38.9,53.07,21.2
2024-08-02,06:03:00,0.0,0.0,1,Cicalino1,19.35,19.2,19.6,95.65,27.77,19.1,37.8,68.94,18.7
2024-08-03,06:03:00,0.0,0.0,1,Cicalino1,22.22,21.7,22.7,93.04,27.31,20.7,38.7,73.08,18.0
2024-08-04,06:04:00,0.0,0.0,0,Cicalino1,18.45,18.4,18.7,97.11,27.27,18.4,37.4,65.01,19.0
2024-08-05,06:01:00,0.0,0.0,0,Cicalino1,19.4,19.2,19.7,78.42,28.41,18.5,37.9,56.92,19.4
2024-08-06,06:00:00,1.0,1.0,0,Cicalino1,18.55,18.5,18.8,95.12,27.47,18.1,37.7,64.73,19.6
2024-08-07,06:04:00,1.0,0.0,0,Cicalino1,17.93,17.8,18.2,92.38,27.02,17.5,36.9,63.87,19.4
2024-08-08,06:03:00,1.0,0.0,0,Cicalino1,16.94,16.8,17.2,83.96,26.99,16.4,36.3,62.64,19.9
2024-08-09,06:01:00,1.0,0.0,1,Cicalino1,19.1,18.8,19.2,97.0,28.18,18.7,37.8,63.15,19.1
2024-08-10,06:00:00,0.0,0.0,0,Cicalino1,20.05,19.9,20.3,72.21,29.91,19.4,40.2,50.72,20.8
2024-08-11,06:04:00,0.0,0.0,0,Cicalino1,20.61,20.5,20.9,83.61,30.01,20.0,40.5,56.29,20.5
2024-08-12,06:03:00,0.0,0.0,0,Cicalino1,21.15,21.0,21.3,81.1,30.04,20.9,40.4,52.56,19.5
2024-08-13,06:03:00,0.0,0.0,0,Cicalino1,20.14,20.0,20.5,59.71,29.18,19.4,39.3,49.48,19.9
2024-08-14,06:01:00,0.0,0.0,0,Cicalino1,19.74,19.5,19.9,91.38,28.17,19.0,38.0,63.27,19.0
2024-08-15,06:00:00,0.0,0.0,1,Cicalino1,19.24,19.0,19.5,87.05,26.15,18.8,38.0,64.67,19.2
2024-08-16,06:00:00,0.0,0.0,0,Cicalino1,19.84,19.7,20.1,84.98,27.57,19.6,38.7,61.19,19.1
2024-08-17,06:04:00,0.0,0.0,0,Cicalino1,19.95,19.3,20.5,86.32,27.44,19.1,36.4,63.23,17.3
2024-08-18,06:03:00,0.0,0.0,0,Cicalino1,19.82,19.7,20.1,96.35,23.56,19.2,33.8,81.61,14.6
2024-08-19,06:02:00,0.0,0.0,0,Cicalino1,18.38,18.1,18.8,92.02,23.15,18.1,32.9,75.22,14.8
2024-08-20,06:00:00,0.0,0.0,0,Cicalino1,16.92,16.8,17.1,97.92,24.37,16.8,33.2,72.15,16.4
2024-08-21,06:03:00,0.0,0.0,1,Cicalino1,19.67,19.4,19.9,96.38,26.21,19.0,34.0,69.4,15.0
2024-08-22,06:04:00,0.0,0.0,0,Cicalino1,18.64,18.5,18.8,87.18,26.88,18.4,36.5,64.01,18.1
2024-08-23,06:03:00,0.0,0.0,0,Cicalino1,18.36,18.3,18.4,93.3,19.66,18.3,21.3,88.44,3.0
2024-07-05,11:31:01,0.0,0.0,0,Cicalino2,16.69,16.3,17.0,89.48,27.14,15.7,38.0,56.96,22.3
2024-07-06,03:02:01,0.0,0.0,0,Cicalino2,19.134999999999998,18.75,19.4,86.48,27.295,18.55,37.8,62.53,19.25
2024-07-07,03:04:01,0.0,0.0,0,Cicalino2,18.845,18.5,19.1,85.265,28.575000000000003,17.85,39.25,56.625,21.4
2024-07-08,03:01:01,0.0,0.0,1,Cicalino2,16.535,16.2,16.85,88.945,26.575000000000003,15.35,37.599999999999994,60.394999999999996,22.25
2024-07-09,03:00:01,0.0,0.0,1,Cicalino2,21.64,21.25,22.0,82.08500000000001,27.735,19.2,38.8,63.075,19.6
2024-07-11,03:00:00,0.0,0.0,1,Cicalino2,15.47,15.4,15.6,87.32,26.22,14.4,35.9,55.21,21.5
